Image,X_Ratio,Y_Ratio
05-15_00213_P0030792_weed0.png,0.5851023976023975,0.5153544372294373
05-26_00166_P0034016_weed7.png,0.5693181818181816,0.5018780239368474
05-26_00178_P0034016_weed2.png,0.6215656565656565,0.5480925324675324
05-26_00178_P0034121_weed7.png,0.42156226126814367,0.4542836196062002
05-26_00178_P0034121_weed9.png,0.7038671422474239,0.4729223627249942
05-26_00221_P0034121_weed8.png,0.6013708513708512,0.5313131313131313
05-26_00241_P0034016_weed5.png,0.5808755760368663,0.31738523573200983
06-05_00024_P0037822_weed5.png,0.48907190370604986,0.39208247892458414
06-05_00028_P0037822_weed8.png,0.6020833333333333,0.3752705627705627
06-05_00048_P0037822_weed9.png,0.5343972065670181,0.5502525252525252
06-05_00049_P0037822_weed0.png,0.5726325757575756,0.3790043290043289
06-05_00060_P0037991_weed4.png,0.5490662438336856,0.36692897497982235
06-05_00096_P0037991_weed0.png,0.5307132383745286,0.6939285714285713
06-05_00111_P0037822_weed1.png,0.4093304236746861,0.45123288873288864
06-05_00115_P0038051_weed5.png,0.31892857142857145,0.4149080086580085
06-05_00216_P0038051_weed2.png,0.49679487179487164,0.3263798701298699
06-05_00218_P0038051_weed12.png,0.5665584415584417,0.4339105339105339
06-05_00223_P0038051_weed2.png,0.5439107461166287,0.6206592320722755
